"id";"name";"host_id";"host_name";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm"
"35770478";"Depto. en lo mejor de Palermo (TPYN) Standard";258557548;"Alejandro";"Palermo";-34.57771;-58.42417;"Entire home/apt";48615.0;1;3;"2024-11-29";0.04;4;320;1
"35770866";"Dept en la mejor zona de Palermo (TPYN) Deluxe";258557548;"Alejandro";"Palermo";-34.57876;-58.42384;"Entire home/apt";57310.0;1;2;"2019-08-19";0.03;4;334;0
"35771123";"Excelente dept. en Palermo (TPYN) Superior";258557548;"Alejandro";"Palermo";-34.57771;-58.42417;"Entire home/apt";53414.0;1;2;"2019-07-16";0.03;4;332;0
"35824229";"Studio, Prime Location in Palermo, steps to subway";638545;"Luisa";"Palermo";-34.58594;-58.41801;"Entire home/apt";41557.0;3;11;"2024-08-22";0.18;2;148;1
"35835799";"Dpto excelente, moderno y canchero, Belgrano.";57493427;"Facundo Adrian";"Belgrano";-34.55654;-58.46409;"Entire home/apt";39908.0;3;19;"2024-05-23";0.28;3;0;1
"35841929";"Palermo, toda la luz y naturaleza a tu alcance.";46778910;"Carlos";"Palermo";-34.58316;-58.42014;"Entire home/apt";32557.0;3;14;"2025-01-02";0.21;1;351;1
"35843036";"Lindo departamento en San Telmo";269614745;"Malva";"San Telmo";-34.6205;-58.37685;"Entire home/apt";31507.0;3;4;"2023-12-04";0.26;1;365;0
"35868843";"#124 Hermoso departamento sobre la Av. 9 de Julio!";73350585;"Elena";"Constitucion";-34.61896133422852;-58.38165664672852;"Entire home/apt";31507.0;2;4;"2019-12-09";0.06;27;179;0
"35869573";"#102 Hermoso departamento sobre la Av. 9 de Julio!";73350585;"Elena";"Constitucion";-34.619068;-58.381657;"Entire home/apt";42009.0;2;8;"2024-11-25";0.12;27;179;2
"35878554";"Zona gastronÃ³mica, luminoso, tranquilo, piscina";95540009;"Mercedes";"Palermo";-34.58948;-58.41803;"Entire home/apt";39908.0;3;77;"2025-01-21";1.15;2;191;20
"35907569";"Hermoso piso en el corazÃ³n de Buenos Aires";52446523;"Julio";"San Nicolas";-34.60322;-58.37945;"Entire home/apt";51387.0;2;30;"2024-09-30";0.46;2;287;2
"35914166";"Hermoso departamento en San Telmo";167305424;"Juan Pablo";"Constitucion";-34.62578;-58.37797;"Entire home/apt";24901.0;2;93;"2025-01-04";2.99;1;355;28
"35917248";"CÃ³mo en tu casa en Buenos Aires!!!";179629871;"Adriana";"Paternal";-34.60277;-58.46472;"Entire home/apt";29406.0;2;10;"2025-01-19";0.15;1;89;8
"35943560";"Quiet and modern studio in the best of Retiro";450612472;"Miguel";"Retiro";-34.593143;-58.379414;"Entire home/apt";33607.0;2;44;"2025-01-02";0.65;19;247;2
"35946894";"Habitacion We, Desayuno Incluido";171354556;"We The People";"Palermo";-34.57785;-58.43629;"Private room";72465.0;1;102;"2024-04-29";1.5;14;161;4
"35947220";"Departamento amplio en Palermo";106816971;"Fernando";"Palermo";-34.59210863966759;-58.43271866440774;"Entire home/apt";24617.0;1;21;"2024-03-12";0.7;4;365;1
"35947982";"Habitacion We The People Palermo Hollywood";171354556;"We The People";"Palermo";-34.57785;-58.43629;"Private room";57762.0;1;101;"2024-10-15";1.49;14;161;5
"35948262";"Habitacion We The People Palermo Hollywood";171354556;"We The People";"Palermo";-34.57785;-58.43629;"Private room";57762.0;3;76;"2024-11-19";1.12;14;161;4
"35948363";"Habitacion We The People Palermo Hollywood";171354556;"We The People";"Palermo";-34.57785;-58.43629;"Private room";57762.0;1;64;"2024-04-07";0.94;14;251;2
"35962851";"Modern studio in Palermo Chico";156670964;"Monica";"Palermo";-34.58261;-58.40797;"Entire home/apt";25205.0;2;43;"2025-01-19";0.66;2;158;13
"35966703";"Buenos Aires en las alturas! Piso 16";34063555;"Federico";"Almagro";-34.61783981323242;-58.414249420166016;"Private room";20000.0;2;13;"2024-02-10";0.19;2;89;1
"35971631";"Belgrano, La Redonda(Cdad. de la Paz y EcheverrÃ­a)";128165266;"BÃ¡rbara";"Belgrano";-34.563969;-58.456699;"Entire home/apt";66429.0;2;48;"2023-11-14";0.71;3;140;0
"35998617";"Excelente apartamento en corazÃ³n de Palermo Soho";270815391;"Florencia";"Palermo";-34.58575;-58.42841;"Entire home/apt";31507.0;4;74;"2024-12-14";1.1;1;74;6
"35998681";"Departamento 2 amb con cochera. Full Amenities.";270837760;"Alberto Enrique";"Almagro";-34.59957;-58.42438;"Entire home/apt";50410.0;3;50;"2024-12-02";0.74;2;307;4
"36000060";"Piso con Entrepiso SOLO MUJERES Eleven Home Bee";253277353;"Eli";"Balvanera";-34.61208;-58.41017;"Private room";12603.0;1;46;"2024-12-19";0.68;1;365;9
"36001721";"Extra cÃ³modo y luminoso en Barrio Norte";238668912;"Mirta";"Recoleta";-34.596;-58.4029;"Entire home/apt";32494.0;2;15;"2024-10-14";0.25;1;270;4
"36037737";"Habitacion We The People Palermo Hollywood";171354556;"We The People";"Palermo";-34.57785;-58.43629;"Private room";57762.0;1;74;"2024-12-28";1.09;14;161;8
